日期,确诊总数,治愈总数,死亡人数,感染死亡率,感染治愈率,住院死亡率,住院治愈率
20200220,75567,18266,119,0.001574761469953816,0.241719268993079,0.006472667935817242,0.9935273320641828
20200221,76392,20674,109,0.0014268509791601214,0.2706304325060216,0.00524467112543906,0.994755328874561
20200222,77041,22908,97,0.0012590698459261952,0.29734816526265234,0.004216474679417518,0.9957835253205825
20200223,77262,24758,150,0.0019414459889725867,0.32044213196655535,0.006022161554520636,0.9939778384454794
20200224,77779,27354,71,0.0009128427981846,0.3516887591766415,0.0025888787602552418,0.9974111212397447
20200225,78190,29776,52,0.0006650466811612738,0.3808159611203479,0.0017433284162531849,0.9982566715837469
20200226,78630,32532,29,0.00036881597354699225,0.41373521556657766,0.0008906360369767513,0.9991093639630233
20200227,78959,36156,44,0.0005572512316518699,0.4579085348092048,0.0012154696132596686,0.9987845303867403
20200228,79388,39035,46,0.0005794326598478359,0.49169899732957123,0.0011770425526470665,0.9988229574473529
20200229,79968,41675,36,0.0004501800720288115,0.5211459583833533,0.0008630816810913188,0.9991369183189087
20200301,80174,44519,42,0.0005238606031880659,0.5552797665078454,0.0009425282197437221,0.9990574717802563
20200302,80302,47248,32,0.00039849567881248285,0.588378869766631,0.0006768189509306261,0.9993231810490694
20200303,80422,49902,37,0.0004600731143219517,0.6205018527268658,0.0007409039027613689,0.9992590960972386
20200304,80566,52097,31,0.00038477769778814887,0.6466375394086835,0.0005946899938612646,0.9994053100061387
20200305,80711,53781,30,0.00037169654693907896,0.6663403996976868,0.0005575068294586609,0.9994424931705413
20200306,80813,55465,28,0.0003464789080964696,0.6863375941989531,0.0005045681437298398,0.9994954318562702
20200307,80859,57131,27,0.00033391459206767336,0.7065509096080832,0.00047237482067252176,0.9995276251793275
20200308,80904,58672,23,0.000284287550677346,0.7252051814496193,0.0003918562058096942,0.9996081437941903
20200309,80924,59970,17,0.0002100736493500074,0.7410656912658791,0.0002833947355260306,0.9997166052644739
20200310,80955,61555,22,0.0002717559137792601,0.7603606942128343,0.0003572762557448398,0.9996427237442551
20200311,80980,62874,11,0.00013583600889108423,0.7764139293652754,0.0001749224775383637,0.9998250775224616
20200312,80991,64204,7,8.642935634823622e-05,0.7927300564260227,0.00010901558922925978,0.9998909844107707
20200313,81021,65649,14,0.00017279470754495748,0.8102714111156367,0.00021320987466305226,0.999786790125337
20200314,81048,67022,10,0.00012338367387227322,0.8269420590267496,0.0001491824800095477,0.9998508175199905
20200315,81079,67863,14,0.00017267109855819633,0.8369984829610627,0.00020625543262076993,0.9997937445673792
20200316,81116,68799,13,0.00016026431283593865,0.8481557275999803,0.00018892053711561937,0.9998110794628844
20200317,81151,69725,11,0.00013554977757513771,0.8592007492205888,0.0001577377538143857,0.9998422622461857
20200318,81237,70547,8,9.847729482871106e-05,0.8684097147851348,0.00011338671958046913,0.9998866132804195
20200319,81301,71284,3,3.68999151301952e-05,0.8767911833802782,4.2083409317266825e-05,0.9999579165906828
20200320,81416,71876,8,9.826078412105728e-05,0.8828240149356392,0.00011129041233097768,0.9998887095876691
20200321,81498,72382,6,7.362143856290952e-05,0.8881444943434195,8.288666629828149e-05,0.9999171133337017
20200322,81601,72841,9,0.00011029276602002426,0.8926483744071764,0.00012354152367879205,0.9998764584763212
20200323,81747,73299,7,8.563005370227653e-05,0.8966567580461668,9.549013723296865e-05,0.999904509862767
20200324,81847,73791,4,4.887167519884663e-05,0.9015724461495229,5.4204214377667864e-05,0.9999457957856224
20200325,81961,74196,6,7.320554898061273e-05,0.905259818694257,8.086035416835126e-05,0.9999191396458317
20200326,82079,74737,5,6.0916921502454954e-05,0.9105495924657951,6.689679162987343e-05,0.9999331032083701
20200327,82213,75122,3,3.6490579348764795e-05,0.9137484339459696,3.9933444259567385e-05,0.9999600665557404
20200328,82341,75600,5,6.072309056241727e-05,0.918133129303749,6.613319224918987e-05,0.9999338668077508
20200329,82447,75937,5,6.064502043737189e-05,0.9210401833905418,6.583971978615259e-05,0.9999341602802139
20200330,82547,76225,3,3.634293190545992e-05,0.9234133281645608,3.935561735845096e-05,0.9999606443826415
20200331,82631,76415,7,8.471396933354311e-05,0.9247739952318137,9.159666064745754e-05,0.9999084033393525
20200401,82724,76604,6,7.253034185967796e-05,0.9260190513031284,7.83187573423835e-05,0.9999216812426576
20200402,82802,76786,4,4.8308011883770923e-05,0.9273447501268085,5.209011590050788e-05,0.9999479098840995
