日期,确诊总数,今日确诊数,治愈总数,治愈新增,现存感染数,现存增加数,死亡人数,新增死亡,高风险地区数,中风险地区数,疑似总数,新增疑似
20200120,1,1,0,0,1,1,0,0,0,0,0,0
20200121,9,8,0,0,9,8,0,0,0,0,0,0
20200122,16,7,0,0,16,7,0,0,0,0,0,0
20200123,20,4,0,0,20,4,0,0,0,0,0,0
20200124,33,13,0,0,32,12,1,1,0,0,0,0
20200125,40,7,1,1,38,6,1,0,0,0,0,0
20200126,53,13,1,0,51,13,1,0,0,0,0,0
20200127,66,13,3,2,62,11,1,0,0,0,0,0
20200128,80,14,4,1,75,13,1,0,0,0,0,0
20200129,101,21,5,1,95,20,1,0,0,0,0,0
20200130,128,27,5,0,122,27,1,0,0,0,0,0
20200131,153,25,9,4,143,21,1,0,0,0,0,0
20200201,177,24,10,1,166,23,1,0,0,0,0,0
20200202,193,16,10,0,182,16,1,0,0,0,0,0
20200203,208,15,10,0,197,15,1,0,0,0,0,0
20200204,233,25,12,2,220,23,1,0,0,0,0,0
20200205,254,21,15,3,238,18,1,0,0,0,0,0
20200206,269,15,25,10,243,5,1,0,0,0,0,0
20200207,281,12,30,5,250,7,1,0,0,0,0,0
20200208,292,11,41,11,250,0,1,0,0,0,0,0
20200209,295,3,44,3,250,0,1,0,0,0,0,0
20200210,302,7,48,4,253,3,1,0,0,0,0,0
20200211,306,4,53,5,252,-1,1,0,0,0,0,0
20200212,313,7,57,4,255,3,1,0,0,0,0,0
20200213,318,5,62,5,255,0,1,0,0,0,0,0
20200214,326,8,90,28,235,-20,1,0,0,0,0,0
20200215,328,2,124,34,203,-32,1,0,0,0,0,0
20200216,331,3,140,16,190,-13,1,0,0,0,0,0
20200217,333,2,161,21,171,-19,1,0,0,0,0,0
20200218,333,0,177,16,155,-16,1,0,0,0,0,0
20200219,333,0,186,9,145,-10,2,1,0,0,0,0
20200220,334,1,199,13,133,-12,2,0,0,0,0,0
20200221,334,0,211,12,120,-13,3,1,0,0,0,0
20200222,335,1,227,16,105,-15,3,0,0,0,0,0
20200223,335,0,249,22,83,-22,3,0,0,0,0,0
20200224,335,0,261,12,71,-12,3,0,0,0,0,0
20200225,336,1,268,7,65,-6,3,0,0,0,0,0
20200226,337,1,272,4,62,-3,3,0,0,0,0,0
20200227,337,0,276,4,58,-4,3,0,0,0,0,0
20200228,337,0,279,3,55,-3,3,0,0,0,0,0
20200229,337,0,287,8,47,-8,3,0,0,0,0,0
20200301,337,0,290,3,44,-3,3,0,0,0,0,0
20200302,338,1,292,2,43,-1,3,0,0,0,0,0
20200303,338,0,294,2,41,-2,3,0,0,0,0,0
20200304,338,0,298,4,37,-4,3,0,0,0,0,0
20200305,339,1,303,5,33,-4,3,0,0,0,0,0
20200306,342,3,306,3,33,0,3,0,0,0,0,0
20200307,342,0,313,7,26,-7,3,0,0,0,0,0
20200308,342,0,314,1,25,-1,3,0,0,0,0,0
20200309,342,0,315,1,24,-1,3,0,0,0,0,0
20200310,344,2,319,4,22,-2,3,0,0,0,0,0
20200311,344,0,320,1,21,-1,3,0,0,0,0,0
20200312,346,2,321,1,22,1,3,0,0,0,0,0
20200313,350,4,324,3,23,1,3,0,0,0,0,0
20200314,353,3,324,0,26,3,3,0,0,0,0,0
20200315,355,2,324,0,28,2,3,0,0,0,0,0
20200316,358,3,325,1,30,2,3,0,0,0,0,0
20200317,361,3,325,0,33,3,3,0,0,0,0,0
20200318,363,2,326,1,34,1,3,0,0,0,0,0
20200319,371,8,326,0,42,8,3,0,0,0,0,0
20200320,380,9,326,0,51,9,3,0,0,0,0,0
20200321,394,14,327,1,63,12,4,1,0,0,0,0
20200322,404,10,328,1,72,9,4,0,0,0,0,0
20200323,413,9,329,1,80,8,4,0,0,0,0,0
20200324,433,20,330,1,98,18,5,1,0,0,19,19
20200325,451,18,330,0,116,18,5,0,0,0,19,0
20200326,468,17,331,1,132,16,5,0,0,0,19,0
20200327,485,17,334,3,146,14,5,0,0,0,19,0
20200328,492,7,334,0,153,7,5,0,0,0,19,0
20200329,498,6,334,0,159,6,5,0,0,0,19,0
20200330,509,11,338,4,166,7,5,0,0,0,19,0
20200331,516,7,341,3,169,3,6,1,0,0,19,0
20200401,522,6,343,2,173,4,6,0,0,0,19,0
20200402,526,4,343,0,177,4,6,0,0,0,0,-19
20200403,529,3,348,5,175,-2,6,0,0,0,0,0
20200404,531,2,356,8,169,-6,6,0,0,0,19,19
20200405,536,5,383,27,147,-22,6,0,0,0,19,0
20200406,538,2,389,6,143,-4,6,0,0,0,19,0
20200407,543,5,406,17,130,-13,7,1,0,0,0,-19
20200408,552,9,417,11,128,-2,7,0,0,0,0,0
20200409,555,3,422,5,126,-2,7,0,0,0,19,19
20200410,555,0,435,13,113,-13,7,0,0,0,19,0
20200411,607,52,438,3,162,49,7,0,0,0,19,0
20200412,618,11,446,8,165,3,7,0,0,0,19,0
20200413,618,0,458,12,153,-12,7,0,0,0,19,0
20200414,622,4,468,10,147,-6,7,0,0,0,19,0
20200415,628,6,485,17,136,-11,7,0,0,0,19,0
20200416,628,0,489,4,132,-4,7,0,0,0,19,0
20200417,628,0,512,23,109,-23,7,0,0,0,19,0
20200418,635,7,516,4,112,3,7,0,0,0,19,0
20200419,638,3,521,5,110,-2,7,0,0,0,19,0
20200420,638,0,530,9,101,-9,7,0,0,0,19,0
20200421,639,1,530,0,102,1,7,0,0,0,300,281
20200422,640,1,532,2,101,-1,7,0,0,0,300,0
20200423,641,1,533,1,101,0,7,0,0,0,300,0
20200424,641,0,547,14,87,-14,7,0,0,0,300,0
20200425,642,1,558,11,77,-10,7,0,0,0,300,0
20200426,642,0,568,10,67,-10,7,0,0,0,300,0
20200427,644,2,581,13,56,-11,7,0,0,0,300,0
20200428,645,1,584,3,54,-2,7,0,0,0,300,0
20200429,647,2,597,13,43,-11,7,0,0,0,300,0
20200430,652,5,599,2,46,3,7,0,0,0,300,0
20200501,652,0,612,13,33,-13,7,0,0,0,300,0
20200502,653,1,613,1,33,0,7,0,0,0,300,0
20200503,655,2,615,2,33,0,7,0,0,0,300,0
20200504,656,1,619,4,30,-3,7,0,0,0,300,0
20200505,656,0,620,1,29,-1,7,0,0,0,300,0
20200506,657,1,620,0,30,1,7,0,0,0,300,0
20200507,657,0,623,3,27,-3,7,0,0,0,300,0
20200508,657,0,623,0,27,0,7,0,0,0,300,0
20200509,659,2,626,3,26,-1,7,0,0,0,300,0
20200510,659,0,627,1,25,-1,7,0,0,0,300,0
20200511,659,0,627,0,25,0,7,0,0,0,300,0
20200512,660,1,631,4,22,-3,7,0,0,0,300,0
20200513,660,0,633,2,20,-2,7,0,0,0,300,0
20200514,660,0,638,5,15,-5,7,0,0,0,300,0
20200515,665,5,640,2,18,3,7,0,0,0,300,0
20200516,665,0,641,1,17,-1,7,0,0,0,300,0
20200517,666,1,641,0,18,1,7,0,0,0,300,0
20200518,666,0,641,0,18,0,7,0,0,0,300,0
20200519,666,0,642,1,17,-1,7,0,0,0,300,0
20200520,667,1,645,3,15,-2,7,0,0,0,300,0
20200521,667,0,646,1,14,-1,7,0,0,0,300,0
20200522,667,0,647,1,13,-1,7,0,0,0,300,0
20200523,668,1,647,0,14,1,7,0,0,0,300,0
20200524,668,0,648,1,13,-1,7,0,0,0,300,0
20200525,669,1,652,4,10,-3,7,0,0,0,300,0
20200526,670,1,653,1,10,0,7,0,0,0,300,0
20200527,671,1,655,2,9,-1,7,0,0,0,300,0
20200528,671,0,655,0,9,0,7,0,0,0,300,0
20200529,672,1,657,2,8,-1,7,0,0,0,300,0
20200530,672,0,657,0,8,0,7,0,0,0,300,0
20200531,672,0,657,0,8,0,7,0,0,0,300,0
20200601,673,1,660,3,6,-2,7,0,0,0,300,0
20200602,673,0,661,1,5,-1,7,0,0,0,300,0
20200603,673,0,661,0,5,0,7,0,0,0,300,0
20200604,677,4,662,1,8,3,7,0,0,0,300,0
20200605,677,0,663,1,7,-1,7,0,0,0,300,0
20200606,677,0,664,1,6,-1,7,0,0,0,300,0
20200607,678,1,664,0,7,1,7,0,0,0,300,0
20200608,678,0,665,1,6,-1,7,0,0,0,300,0
20200609,678,0,665,0,6,0,7,0,0,0,300,0
20200610,684,6,665,0,12,6,7,0,0,0,300,0
20200611,689,5,666,1,16,4,7,0,0,0,300,0
