日期,确诊总数,今日确诊数,治愈总数,治愈新增,现存感染数,现存增加数,死亡人数,新增死亡,高风险地区数,中风险地区数,疑似总数,新增疑似
20200122,1,1,0,0,1,1,0,0,0,0,0,0
20200123,1,0,0,0,1,0,0,0,0,0,0,0
20200124,6,5,0,0,6,5,0,0,0,0,0,0
20200125,9,3,0,0,9,3,0,0,0,0,0,0
20200126,13,4,0,0,13,4,0,0,0,0,0,0
20200127,20,7,0,0,20,7,0,0,0,0,0,0
20200128,27,7,0,0,27,7,0,0,0,0,0,0
20200129,35,8,1,1,34,7,0,0,0,0,0,0
20200130,39,4,1,0,38,4,0,0,0,0,0,0
20200131,47,8,1,0,46,8,0,0,0,0,0,0
20200201,56,9,1,0,55,9,0,0,0,0,0,0
20200202,66,10,2,1,64,9,0,0,0,0,0,0
20200203,74,8,2,0,72,8,0,0,0,0,0,0
20200204,81,7,4,2,77,5,0,0,0,0,0,0
20200205,90,9,6,2,84,7,0,0,0,0,0,0
20200206,96,6,12,6,84,0,0,0,0,0,0,0
20200207,104,8,15,3,89,5,0,0,0,0,0,0
20200208,115,11,21,6,94,5,0,0,0,0,0,0
20200209,119,4,25,4,94,0,0,0,0,0,0,0
20200210,122,3,26,1,96,2,0,0,0,0,0,0
20200211,124,2,30,4,94,-2,0,0,0,0,0,0
20200212,126,2,33,3,93,-1,0,0,0,0,0,0
20200213,126,0,36,3,90,-3,0,0,0,0,0,0
20200214,127,1,38,2,89,-1,0,0,0,0,0,0
20200215,128,1,46,8,82,-7,0,0,0,0,0,0
20200216,129,1,50,4,79,-3,0,0,0,0,0,0
20200217,130,1,53,3,77,-2,0,0,0,0,0,0
20200218,131,1,61,8,70,-7,0,0,0,0,0,0
20200219,131,0,68,7,63,-7,0,0,0,0,0,0
20200220,132,1,76,8,56,-7,0,0,0,0,0,0
20200221,132,0,78,2,54,-2,0,0,0,0,0,0
20200222,132,0,81,3,51,-3,0,0,0,0,0,0
20200223,132,0,88,7,44,-7,0,0,0,0,0,0
20200224,133,1,94,6,39,-5,0,0,0,0,0,0
20200225,133,0,98,4,35,-4,0,0,0,0,0,0
20200226,133,0,104,6,29,-6,0,0,0,0,0,0
20200227,133,0,107,3,26,-3,0,0,0,0,0,0
20200228,133,0,112,5,21,-5,0,0,0,0,0,0
20200229,133,0,114,2,19,-2,0,0,0,0,0,0
20200301,133,0,116,2,17,-2,0,0,0,0,0,0
20200302,133,0,119,3,14,-3,0,0,0,0,0,0
20200303,133,0,124,5,9,-5,0,0,0,0,0,0
20200304,133,0,124,0,9,0,0,0,0,0,0,0
20200305,133,0,126,2,7,-2,0,0,0,0,0,0
20200306,133,0,126,0,7,0,0,0,0,0,0,0
20200307,133,0,126,0,7,0,0,0,0,0,0,0
20200308,133,0,126,0,7,0,0,0,0,0,0,0
20200309,133,0,127,1,6,-1,0,0,0,0,0,0
20200310,133,0,131,4,2,-4,0,0,0,0,0,0
20200311,133,0,131,0,2,0,0,0,0,0,0,0
20200312,133,0,132,1,1,-1,0,0,0,0,0,0
20200313,133,0,133,1,0,-1,0,0,0,0,0,0
20200314,133,0,133,0,0,0,0,0,0,0,0,0
20200315,133,0,133,0,0,0,0,0,0,0,0,0
20200316,133,0,133,0,0,0,0,0,0,0,0,0
20200317,133,0,133,0,0,0,0,0,0,0,0,0
20200318,133,0,133,0,0,0,0,0,0,0,0,0
20200319,133,0,133,0,0,0,0,0,0,0,0,0
20200320,133,0,133,0,0,0,0,0,0,0,0,0
20200321,133,0,133,0,0,0,0,0,0,0,0,0
20200322,133,0,133,0,0,0,0,0,0,0,0,0
20200323,134,1,133,0,1,1,0,0,0,0,0,0
20200324,134,0,133,0,1,0,0,0,0,0,0,0
20200325,135,1,133,0,2,1,0,0,0,0,0,0
