日期,确诊总数,今日确诊数,治愈总数,治愈新增,现存感染数,现存增加数,死亡人数,新增死亡,高风险地区数,中风险地区数,疑似总数,新增疑似
20200129,14,5,0,0,14,5,0,0,0,0,0,0
20200130,14,0,1,1,13,-1,0,0,0,0,0,0
20200131,17,3,1,0,16,3,0,0,0,0,0,0
20200201,23,6,1,0,22,6,0,0,0,0,0,0
20200202,31,8,1,0,30,8,0,0,0,0,0,0
20200203,42,11,1,0,41,11,0,0,0,0,0,0
20200204,54,12,1,0,53,12,0,0,0,0,0,0
20200205,59,5,2,1,57,4,0,0,0,0,0,0
20200206,65,6,4,2,60,3,1,1,0,0,0,0
20200207,69,4,4,0,64,4,1,0,0,0,0,0
20200208,78,9,5,1,72,8,1,0,0,0,0,0
20200209,80,2,12,7,67,-5,1,0,0,0,0,0
20200210,81,1,13,1,67,0,1,0,0,0,0,0
20200211,83,2,18,5,64,-3,1,0,0,0,0,0
20200212,84,1,22,4,61,-3,1,0,0,0,0,0
20200213,86,2,25,3,60,-1,1,0,0,0,0,0
20200214,88,2,25,0,62,2,1,0,0,0,0,0
20200215,89,1,28,3,60,-2,1,0,0,0,0,0
20200216,89,0,30,2,58,-2,1,0,0,0,0,0
20200217,89,0,34,4,54,-4,1,0,0,0,0,0
20200218,90,1,36,2,53,-1,1,0,0,0,0,0
20200219,91,1,40,4,50,-3,1,0,0,0,0,0
20200220,91,0,44,4,46,-4,1,0,0,0,0,0
20200221,91,0,46,2,44,-2,1,0,0,0,0,0
20200222,91,0,52,6,38,-6,1,0,0,0,0,0
20200223,93,2,54,2,38,0,1,0,0,0,0,0
20200224,93,0,60,6,32,-6,1,0,0,0,0,0
20200225,93,0,63,3,29,-3,1,0,0,0,0,0
20200226,93,0,65,2,27,-2,1,0,0,0,0,0
20200227,93,0,68,3,24,-3,1,0,0,0,0,0
20200228,93,0,73,5,19,-5,1,0,0,0,0,0
20200229,93,0,75,2,17,-2,1,0,0,0,0,0
20200301,93,0,78,3,14,-3,1,0,0,0,0,0
20200302,93,0,83,5,9,-5,1,0,0,0,0,0
20200303,93,0,84,1,8,-1,1,0,0,0,0,0
20200304,93,0,86,2,6,-2,1,0,0,0,0,0
20200305,93,0,88,2,4,-2,1,0,0,0,0,0
20200306,93,0,90,2,2,-2,1,0,0,0,0,0
20200307,93,0,90,0,2,0,1,0,0,0,0,0
20200308,93,0,90,0,2,0,1,0,0,0,0,0
20200309,93,0,91,1,1,-1,1,0,0,0,0,0
20200310,93,0,91,0,1,0,1,0,0,0,0,0
20200311,93,0,91,0,1,0,1,0,0,0,0,0
20200312,93,0,91,0,1,0,1,0,0,0,0,0
20200313,93,0,91,0,1,0,1,0,0,0,0,0
20200314,93,0,91,0,1,0,1,0,0,0,0,0
20200315,93,0,92,1,0,-1,1,0,0,0,0,0
20200316,93,0,92,0,0,0,1,0,0,0,0,0
20200317,93,0,92,0,0,0,1,0,0,0,0,0
20200318,93,0,92,0,0,0,1,0,0,0,0,0
20200319,93,0,92,0,0,0,1,0,0,0,0,0
20200320,93,0,92,0,0,0,1,0,0,0,0,0
20200321,93,0,92,0,0,0,1,0,0,0,0,0
20200322,93,0,92,0,0,0,1,0,0,0,0,0
20200323,93,0,92,0,0,0,1,0,0,0,0,0
20200324,94,1,92,0,1,1,1,0,0,0,1,1
20200325,95,1,92,0,2,1,1,0,0,0,1,0
20200326,95,0,92,0,2,0,1,0,0,0,1,0
20200327,97,2,92,0,4,2,1,0,0,0,1,0
20200328,98,1,92,0,5,1,1,0,0,0,2,1
20200329,98,0,92,0,5,0,1,0,0,0,2,0
20200330,98,0,92,0,5,0,1,0,0,0,2,0
20200331,98,0,92,0,5,0,1,0,0,0,2,0
20200401,98,0,92,0,5,0,1,0,0,0,2,0
20200402,98,0,92,0,5,0,1,0,0,0,0,-2
20200403,98,0,92,0,5,0,1,0,0,0,0,0
20200404,98,0,92,0,5,0,1,0,0,0,2,2
20200405,98,0,92,0,5,0,1,0,0,0,2,0
20200406,98,0,92,0,5,0,1,0,0,0,2,0
20200407,98,0,92,0,5,0,1,0,0,0,0,-2
20200408,98,0,93,1,4,-1,1,0,0,0,0,0
20200409,98,0,95,2,2,-2,1,0,0,0,2,2
20200410,98,0,96,1,1,-1,1,0,0,0,2,0
20200411,99,1,96,0,2,1,1,0,0,0,2,0
20200412,100,1,96,0,3,1,1,0,0,0,3,1
20200413,100,0,96,0,3,0,1,0,0,0,3,0
20200414,102,2,96,0,5,2,1,0,0,0,3,0
20200415,102,0,96,0,5,0,1,0,0,0,3,0
20200416,102,0,97,1,4,-1,1,0,0,0,3,0
20200417,102,0,97,0,4,0,1,0,0,0,3,0
20200418,104,2,97,0,6,2,1,0,0,0,3,0
20200419,104,0,97,0,6,0,1,0,0,0,3,0
20200420,106,2,97,0,8,2,1,0,0,0,3,0
20200421,106,0,98,1,7,-1,1,0,0,0,3,0
20200422,107,1,98,0,8,1,1,0,0,0,3,0
20200423,108,1,99,1,8,0,1,0,0,0,3,0
20200424,109,1,99,0,9,1,1,0,0,0,3,0
20200425,109,0,99,0,9,0,1,0,0,0,3,0
20200426,110,1,99,0,10,1,1,0,0,0,3,0
20200427,110,0,99,0,10,0,1,0,0,0,3,0
20200428,110,0,99,0,10,0,1,0,0,0,3,0
20200429,111,1,99,0,11,1,1,0,0,0,3,0
20200430,111,0,101,2,9,-2,1,0,0,0,3,0
20200501,112,1,102,1,9,0,1,0,0,0,3,0
20200502,112,0,103,1,8,-1,1,0,0,0,19,16
20200503,112,0,103,0,8,0,1,0,0,0,19,0
20200504,112,0,103,0,8,0,1,0,0,0,19,0
20200505,112,0,103,0,8,0,1,0,0,0,19,0
20200506,112,0,103,0,8,0,1,0,0,0,19,0
20200507,113,1,104,1,8,0,1,0,0,0,19,0
20200508,113,0,105,1,7,-1,1,0,0,0,19,0
20200509,124,11,105,0,18,11,1,0,0,0,19,0
20200510,127,3,105,0,21,3,1,0,0,0,19,0
20200511,127,0,105,0,21,0,1,0,0,0,19,0
20200512,133,6,108,3,24,3,1,0,0,0,19,0
20200513,134,1,108,0,25,1,1,0,0,0,19,0
20200514,138,4,108,0,29,4,1,0,0,0,19,0
20200515,140,2,108,0,31,2,1,0,0,0,19,0
20200516,144,4,113,5,29,-2,2,1,0,0,19,0
