日期,确诊总数,今日确诊数,治愈总数,治愈新增,现存感染数,现存增加数,死亡人数,新增死亡,高风险地区数,中风险地区数,疑似总数,新增疑似
20200129,4586,1032,90,10,4334,985,162,37,0,0,0,0
20200130,5806,1220,116,26,5486,1152,204,42,0,0,0,0
20200131,7153,1347,166,50,6738,1252,249,45,0,0,0,0
20200201,9074,1921,215,49,8565,1827,294,45,0,0,0,0
20200202,11177,2103,295,80,10532,1967,350,56,0,0,0,0
20200203,13522,2345,396,101,12712,2180,414,64,0,0,0,0
20200204,16678,3156,520,124,15679,2967,479,65,0,0,0,0
20200205,19665,2987,633,113,18483,2804,549,70,0,0,0,0
20200206,22112,2447,817,184,20677,2194,618,69,0,0,0,0
20200207,24953,2841,1115,298,23139,2462,699,81,0,0,0,0
20200208,27100,2147,1439,324,24881,1742,780,81,0,0,0,0
20200209,29631,2531,1795,356,26965,2084,871,91,0,0,0,0
20200210,31728,2097,2222,427,28532,1567,974,103,0,0,0,0
20200211,33366,1638,2639,417,29659,1127,1068,94,0,0,0,0
20200212,48206,14840,3441,802,43455,13796,1310,242,0,0,0,0
20200213,51986,3780,4131,690,46429,2974,1426,116,0,0,0,0
20200214,54406,2420,4774,643,48175,1746,1457,31,0,0,0,0
20200215,56249,1843,5623,849,49030,855,1596,139,0,0,0,0
20200216,58182,1933,6639,1016,49847,817,1696,100,0,0,0,0
20200217,59989,1807,7862,1223,50338,491,1789,93,0,0,0,0
20200218,61682,1693,9128,1266,50633,295,1921,132,0,0,0,0
20200219,62031,349,10337,1209,49665,-968,2029,108,0,0,0,0
20200220,62662,631,11788,1451,48730,-935,2144,115,0,0,0,0
20200221,63454,792,13557,1769,47647,-1083,2250,106,0,0,0,0
20200222,64084,630,15299,1742,46439,-1208,2346,96,0,0,0,0
20200223,64287,203,16738,1439,45054,-1385,2495,149,0,0,0,0
20200224,64786,499,18854,2116,43369,-1685,2563,68,0,0,0,0
20200225,65187,401,20912,2058,41660,-1709,2615,52,0,0,0,0
20200226,65596,409,23200,2288,39755,-1905,2641,26,0,0,0,0
20200227,65914,318,26403,3203,36829,-2926,2682,41,0,0,0,0
20200228,66337,423,28895,2492,34715,-2114,2727,45,0,0,0,0
20200229,66907,570,31187,2292,32959,-1756,2761,34,0,0,0,0
20200301,67103,196,33757,2570,30543,-2416,2803,42,0,0,0,0
20200302,67217,114,36167,2410,28216,-2327,2834,31,0,0,0,0
20200303,67332,115,38556,2389,25905,-2311,2871,37,0,0,0,0
20200304,67466,134,40479,1923,24085,-1820,2902,31,0,0,0,0
20200305,67592,126,41966,1487,22695,-1390,2931,29,0,0,0,0
20200306,67666,74,43468,1502,21239,-1456,2959,28,0,0,0,0
20200307,67707,41,45011,1543,19710,-1529,2986,27,0,0,0,0
20200308,67743,36,46433,1422,18303,-1407,3007,21,0,0,0,0
20200309,67760,17,47585,1152,17151,-1152,3024,17,0,0,0,0
20200310,67773,13,49056,1471,15671,-1480,3046,22,0,0,0,0
20200311,67781,8,50298,1242,14427,-1244,3056,10,0,0,0,0
20200312,67786,5,51553,1255,13171,-1256,3062,6,0,0,0,0
20200313,67790,4,52943,1390,11772,-1399,3075,13,0,0,0,0
20200314,67794,4,54278,1335,10431,-1341,3085,10,0,0,0,0
20200315,67798,4,55094,816,9605,-826,3099,14,0,0,0,0
20200316,67799,1,55987,893,8701,-904,3111,12,0,0,0,0
20200317,67800,1,56883,896,7795,-906,3122,11,0,0,0,0
20200318,67800,0,57678,795,6992,-803,3130,8,0,0,0,0
20200319,67800,0,58381,703,6287,-705,3132,2,0,0,0,0
20200320,67800,0,58942,561,5719,-568,3139,7,0,0,0,0
20200321,67800,0,59432,490,5224,-495,3144,5,0,0,0,0
20200322,67800,0,59879,447,4768,-456,3153,9,0,0,0,0
20200323,67801,1,60323,444,4318,-450,3160,7,0,0,0,0
20200324,67801,0,60810,487,3828,-490,3163,3,0,0,0,0
20200325,67801,0,61201,391,3431,-397,3169,6,0,0,0,0
20200326,67801,0,61731,530,2896,-535,3174,5,0,0,0,0
20200327,67801,0,62098,367,2526,-370,3177,3,0,0,0,0
20200328,67801,0,62565,467,2054,-472,3182,5,0,0,0,0
20200329,67801,0,62882,317,1733,-321,3186,4,0,0,0,0
20200330,67801,0,63153,271,1461,-272,3187,1,0,0,0,0
20200331,67802,1,63326,173,1283,-178,3193,6,0,0,0,0
20200401,67802,0,63471,145,1132,-151,3199,6,0,0,0,0
20200402,67802,0,63612,141,987,-145,3203,4,0,0,0,0
20200403,67803,1,63762,150,834,-153,3207,4,0,0,0,0
20200404,67803,0,63945,183,648,-186,3210,3,0,0,0,0
20200405,67803,0,64014,69,577,-71,3212,2,0,0,0,0
20200406,67803,0,64073,59,518,-59,3212,0,0,0,0,0
20200407,67803,0,64142,69,448,-70,3213,1,0,0,0,0
20200408,67803,0,64187,45,401,-47,3215,2,0,0,0,0
20200409,67803,0,64236,49,351,-50,3216,1,0,0,0,0
20200410,67803,0,64264,28,320,-31,3219,3,0,0,0,0
20200411,67803,0,64281,17,303,-17,3219,0,0,0,0,0
20200412,67803,0,64338,57,244,-59,3221,2,0,0,0,0
20200413,67803,0,64363,25,219,-25,3221,0,0,0,0,0
20200414,67803,0,64402,39,179,-40,3222,1,0,0,0,0
20200415,67803,0,64435,33,146,-33,3222,0,0,0,0,0
20200416,68128,325,63487,-948,129,-17,4512,1290,0,0,0,0
20200417,68128,0,63494,7,122,-7,4512,0,0,0,0,0
20200418,68128,0,63507,13,109,-13,4512,0,0,0,0,0
20200419,68128,0,63511,4,105,-4,4512,0,0,0,0,0
20200420,68128,0,63514,3,102,-3,4512,0,0,0,0,0
20200421,68128,0,63519,5,97,-5,4512,0,0,0,0,0
20200422,68128,0,63547,28,69,-28,4512,0,0,0,0,0
20200423,68128,0,63569,22,47,-22,4512,0,0,0,0,0
20200424,68128,0,63593,24,23,-24,4512,0,0,0,0,0
20200425,68128,0,63604,11,12,-11,4512,0,0,0,0,0
20200426,68128,0,63616,12,0,-12,4512,0,0,0,0,0
20200427,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200428,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200429,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200430,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200501,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200502,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200503,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200504,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200505,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200506,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200507,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200508,68128,0,63616,0,0,0,4512,0,0,0,0,0
20200509,68129,1,63616,0,1,1,4512,0,0,0,0,0
20200510,68134,5,63616,0,6,5,4512,0,0,0,0,0
20200511,68134,0,63616,0,6,0,4512,0,0,0,0,0
20200512,68134,0,63616,0,6,0,4512,0,0,0,0,0
20200513,68134,0,63616,0,6,0,4512,0,0,0,0,0
20200514,68134,0,63616,0,6,0,4512,0,0,0,0,0
20200515,68134,0,63616,0,6,0,4512,0,0,0,0,0
20200516,68134,0,63616,0,6,0,4512,0,0,0,0,0
20200517,68134,0,63616,0,6,0,4512,0,0,0,0,0
20200518,68135,1,63616,0,7,1,4512,0,0,0,0,0
20200519,68135,0,63616,0,7,0,4512,0,0,0,0,0
20200520,68135,0,63616,0,7,0,4512,0,0,0,0,0
20200521,68135,0,63616,0,7,0,4512,0,0,0,0,0
20200522,68135,0,63616,0,7,0,4512,0,0,0,0,0
20200523,68135,0,63616,0,7,0,4512,0,0,0,0,0
20200524,68135,0,63617,1,6,-1,4512,0,0,0,0,0
20200525,68135,0,63617,0,6,0,4512,0,0,0,0,0
20200526,68135,0,63618,1,5,-1,4512,0,0,0,0,0
20200527,68135,0,63618,0,5,0,4512,0,0,0,0,0
20200528,68135,0,63618,0,5,0,4512,0,0,0,0,0
20200529,68135,0,63619,1,4,-1,4512,0,0,0,0,0
20200530,68135,0,63619,0,4,0,4512,0,0,0,0,0
20200531,68135,0,63620,1,3,-1,4512,0,0,0,0,0
20200601,68135,0,63620,0,3,0,4512,0,0,0,0,0
20200602,68135,0,63620,0,3,0,4512,0,0,0,0,0
20200603,68135,0,63620,0,3,0,4512,0,0,0,0,0
20200604,68135,0,63623,3,0,-3,4512,0,0,0,0,0
20200605,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200606,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200607,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200608,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200609,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200610,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200611,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200612,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200613,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200614,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200615,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200616,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200617,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200618,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200619,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200620,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200621,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200622,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200623,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200624,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200625,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200626,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200627,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200628,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200629,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200630,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200701,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200702,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200703,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200704,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200705,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200706,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200707,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200708,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200709,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200710,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200711,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200712,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200713,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200714,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200715,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200716,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200717,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200718,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200719,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200720,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200721,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200722,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200723,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200724,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200725,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200726,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200727,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200728,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200729,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200730,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200731,68135,0,63623,0,0,0,4512,0,0,0,0,0
20200801,68138,3,63623,0,3,3,4512,0,0,0,0,0
20200802,68138,0,63623,0,3,0,4512,0,0,0,0,0
